,n_estimators,max_leaf_nodes,max_features,train_size,train_time,test_time,train_score,test_score
666,2,3,13,30,0.000946999999996,0.0279780000001,0.504324576164,0.560224245173
667,65,6,23,34795,2.875502,0.394377,0.452991432962,0.454770033748
668,20,4,113,208,0.018812,0.120884,0.404526840606,0.467166784906
669,30,18,12,4896,0.111961,0.218744,0.427733594414,0.425558678072
670,28,3,1,41696,0.147469,0.170081,0.533160844918,0.529141881618
671,1,2,3,27,0.000586000000112,0.020861,0.502788415799,0.551301853555
672,6,2,26,1,0.002072,0.03809,0.0,0.560492194905
673,49,4,3,7,0.026102,0.287204,0.172357344182,0.556743247573
674,80,11,11,37774,2.815939,0.532394,0.447284374542,0.449160560395
675,51,2,7,50491,0.603587,0.270409,0.525135108537,0.526460287963
676,5,3,9,40769,0.121111,0.040677,0.511952398059,0.510175531349
677,9,6,103,2258,0.0636569999999,0.0645399999999,0.433838264075,0.448353218289
678,20,2,63,3,0.0128339999999,0.120773,0.187074202295,0.639366068255
679,4,4,92,32201,0.550028,0.0372540000001,0.467388865596,0.464083720155
680,1,8,32,2173,0.005539,0.0216780000001,0.458204111605,0.460448478442
681,5,3,46,1,0.00182099999984,0.0385960000001,0.0,0.543194936571
682,14,3,4,38,0.00483499999996,0.0891879999999,0.469837373457,0.538436472304
683,87,8,56,9114,1.886498,0.555265,0.437492367428,0.434828961004
684,2,5,7,1,0.000882999999931,0.023803,0.0,0.635896889132
685,6,8,57,141,0.00425500000006,0.049231,0.321832052353,0.499095248889
686,1,2,16,21,0.000941000000012,0.021497,0.521060604685,0.538227247262
687,96,15,69,26,0.0417219999999,0.653414,0.143970578197,0.606776590514
688,5,2,87,2,0.00188100000014,0.0371130000001,0.0654692993388,0.54545347828
689,1,7,20,4,0.00056799999993,0.0212410000001,0.471446490535,0.569680517359
690,2,6,1,1,0.000843000000032,0.0233409999998,0.0,0.571725287141
691,1,7,29,103,0.000724999999875,0.0215189999999,0.412386288875,0.597362463242
692,56,2,30,440,0.028767,0.281624,0.476722817133,0.516791556831
693,5,3,1,1,0.00182200000017,0.036738,0.0,0.715749308944
694,17,6,148,49,0.0110609999999,0.118861,0.261362896894,0.527499711073
695,3,2,73,3,0.00124200000005,0.029241,0.185446572105,0.543640626761
696,1,7,16,2666,0.00549599999999,0.0230310000002,0.519178754389,0.518128580459
697,96,6,31,102,0.0411960000001,0.581534,0.337042499594,0.469077818853
698,37,2,9,1,0.0167059999999,0.176364,2.6645352591e-15,0.611650245759
699,11,2,7,9,0.0037699999998,0.06747,0.451752001269,0.536871698235
700,3,13,10,2219,0.00718300000017,0.0335660000001,0.47594676516,0.497557328401
701,6,12,2,29160,0.0740460000002,0.0515619999999,0.50051086157,0.501908584606
702,15,19,1,4,0.00502699999993,0.094374,0.164259497448,0.595665010167
703,6,9,3,174,0.00278899999989,0.04909,0.379043450465,0.528705481142
704,2,3,18,36,0.00100499999985,0.02619,0.501800647487,0.558334944867
705,20,3,12,394,0.00893700000006,0.112159,0.505520932226,0.492745746683
706,22,5,42,14,0.00780300000019,0.142971,0.205839697914,0.573397309151
707,1,8,3,3011,0.00690200000008,0.0284280000001,0.505002024979,0.520522363613
708,10,4,3,840,0.00518099999999,0.065014,0.505697257468,0.518853724961
709,9,5,20,2,0.00312100000019,0.053674,0.225248683518,0.594651726053
710,23,11,90,32,0.0110719999998,0.164127,0.202993793161,0.526031681843
711,6,19,4,17,0.00230600000009,0.0520550000001,0.225998883047,0.543930930226
712,13,13,5,70,0.00497000000018,0.094971,0.310641003472,0.522569867406
713,34,3,1,2,0.0199110000001,0.174495,0.211645351098,0.599061102309
714,17,15,118,1,0.00583699999993,0.08754,1.7763568394e-15,0.631755108155
715,19,4,1,5645,0.02026,0.115019,0.528727054387,0.525790317335
716,93,2,104,27562,6.199977,0.503545,0.484026592602,0.486300387235
717,50,5,1,4,0.0178579999999,0.293568,0.135727016156,0.535367423933
718,7,11,11,12,0.00274299999978,0.0581139999999,0.169150017372,0.526311480006
719,4,3,1,15,0.00164700000005,0.0363180000002,0.419630185375,0.570315061672
720,8,16,1,68,0.00312900000017,0.063954,0.316612127234,0.535459803003
721,55,2,15,3,0.032334,0.283196,0.317228825434,0.772070537698
722,5,3,1,126,0.00249099999996,0.0401160000001,0.472629880256,0.528605774241
723,1,17,35,5407,0.014637,0.022082,0.434888435761,0.440106082232
724,3,2,4,31469,0.0546340000001,0.0298500000001,0.511518429902,0.508796390777
725,9,17,96,1531,0.064425,0.075621,0.382251262182,0.40328116088
726,69,2,1,41901,0.251234,0.347893,0.534728992385,0.531406605254
727,7,2,16,13,0.00253599999996,0.051254,0.495391867472,0.531613570718
728,1,4,8,22000,0.0320819999999,0.0215940000001,0.525395713562,0.527911747551
729,97,3,142,98,0.056378,0.601516,0.382911733632,0.477614672302
730,36,5,51,91,0.018947,0.254158,0.444501689318,0.500600521741
731,11,4,2,20139,0.053318,0.0909940000001,0.530467268656,0.529872302654
732,29,6,31,7867,0.310347,0.185694,0.448004298719,0.450760204
733,1,2,9,9555,0.0163680000001,0.0215699999999,0.534490780424,0.534875863747
734,49,3,5,26,0.02306,0.289196,0.401360520949,0.537440171399
735,22,4,3,9,0.007564,0.147341,0.192068275326,0.573165589515
736,3,14,15,44,0.00150000000008,0.0377290000001,0.282858656013,0.546977425669
737,2,14,24,2,0.00156900000002,0.0351479999999,0.0,0.612308725854
738,3,14,53,672,0.00606299999981,0.034617,0.436824565731,0.451165552818
739,39,2,37,1375,0.0594920000001,0.210448,0.489083310032,0.500734472548
740,6,3,1,18098,0.0386390000001,0.0502060000001,0.528673536766,0.532581859256
741,1,2,7,127,0.00131699999997,0.0250230000001,0.496565585038,0.532610046697
742,1,2,87,2342,0.00730300000009,0.020968,0.520164629484,0.526726129716
743,2,7,21,4819,0.018474,0.0281830000001,0.463288959048,0.468418199229
744,8,2,5,10,0.00631500000009,0.0667100000001,0.75022655646,0.533163222533
745,2,3,1,29445,0.043388,0.036218,0.533402843182,0.535906611558
746,2,3,23,233,0.00128700000005,0.0274159999999,0.478238338434,0.489459725475
747,36,3,10,886,0.0238059999999,0.246406,0.510478335766,0.508046278172
748,1,19,47,3559,0.020706,0.030258,0.415320358476,0.426551592049
749,5,2,3,30,0.00196400000004,0.0412699999999,0.386954900668,0.595027274737
750,7,4,5,1491,0.00866799999994,0.0728819999999,0.505690844116,0.514674510824
751,46,2,1,455,0.02538,0.259096,0.524126404593,0.537757464124
752,1,13,15,102,0.0011669999999,0.027824,0.423902924467,0.574881195079
753,73,6,8,8579,0.273389,0.466284,0.478926405618,0.477931081105
754,14,5,7,29,0.0102420000001,0.129976,0.378288445121,0.512898664762
755,60,7,14,3,0.0294710000001,0.310162,0.1930892085,0.644236136244
756,5,2,12,719,0.00362199999995,0.0392629999999,0.501149001964,0.526283948437
757,13,6,2,2,0.00889300000017,0.073122,0.0908788043319,0.539261439248
758,8,4,77,45691,1.484367,0.074674,0.463934484458,0.466902727758
759,1,2,6,26204,0.039403,0.0222269999999,0.534150605149,0.530297678043
760,79,7,62,835,0.150485,0.534039,0.406500018065,0.44024234512
761,3,2,8,22888,0.0407519999999,0.033936,0.534087546377,0.538266465054
762,2,12,145,625,0.015165,0.032641,0.40442440159,0.453476578006
763,84,18,1,133,0.0311399999998,0.562232,0.436733374617,0.512860465788
764,43,3,17,2,0.026572,0.22914,0.0530317110529,0.723910411646
765,9,2,43,58,0.00362000000018,0.061346,0.510228585626,0.492856651232
766,80,13,110,29598,23.622026,0.54263,0.406817706564,0.411254129487
767,64,6,25,40,0.034969,0.400588,0.313542060352,0.498481307454
768,16,11,19,2,0.0052740000001,0.0808690000001,0.945413439149,0.948000077365
769,94,6,3,33,0.0341519999999,0.56759,0.422649466181,0.512824330413
770,35,3,45,12267,0.524796,0.202389,0.476802218407,0.47364032211
771,8,4,116,368,0.0103370000002,0.056282,0.450414319185,0.467849927833
772,30,4,6,15,0.00984700000004,0.186143,0.376539384213,0.541123948336
773,10,2,66,1,0.00335800000016,0.0559580000001,8.881784197e-16,1.01253393801
774,4,3,115,16,0.00300599999991,0.039403,0.208602381433,0.693910575356
775,9,6,1,1617,0.00705700000003,0.063756,0.511330232302,0.530674320545
776,10,12,4,5,0.0062069999999,0.071651,0.15296285574,0.644751035394
777,23,3,1,423,0.00908699999991,0.127525,0.53316020008,0.52828422912
778,17,5,2,1,0.00549499999988,0.0803899999999,8.881784197e-16,1.34174937191
779,61,2,19,67,0.0205960000001,0.320048,0.486546312724,0.527805098132
780,75,16,37,331,0.0678290000001,0.513162,0.332310416262,0.432049769989
781,2,7,17,41,0.000984000000017,0.0285200000001,0.398643175679,0.545843678568
782,75,16,42,29,0.044283,0.508653,0.17710620804,0.509306813233
783,9,4,4,227,0.00370399999997,0.0607579999999,0.473785706089,0.51481113302
784,2,6,79,161,0.0020199999999,0.0294879999999,0.433811501185,0.479028521601
785,43,17,2,30234,0.335912,0.284783,0.49452416562,0.492252693147
786,1,5,152,50911,0.423272,0.0221900000001,0.461442911348,0.460285633533
787,16,4,133,256,0.018341,0.105411,0.421409528895,0.464235099521
788,3,9,1,49480,0.073451,0.0325970000001,0.530759638443,0.5312399737
789,6,10,73,47,0.00565400000005,0.0549940000001,0.304394996875,0.4993173443
790,2,7,2,2,0.00139300000001,0.026797,0.46736221678,0.55021201694
791,3,3,104,52266,0.647292,0.0314269999999,0.476164320254,0.47671846617
792,1,5,11,795,0.002025,0.0209749999999,0.470604971353,0.478339699544
793,74,10,7,245,0.031291,0.499878,0.432986017462,0.480189330671
794,1,2,146,29926,0.143502,0.0224020000001,0.486713377745,0.488905127438
795,14,3,48,5036,0.0793489999999,0.092394,0.457275180178,0.472036446955
796,17,3,5,24056,0.111846,0.102238,0.514631621253,0.515234371367
797,1,5,2,23791,0.028204,0.0217829999999,0.53274579865,0.525323970208
798,10,3,81,10,0.00654899999995,0.0738289999999,0.306063926106,0.565312677631
799,5,11,8,1679,0.00744099999997,0.0467899999999,0.458738744222,0.473734614707
800,1,2,1,360,0.000974000000042,0.0203550000001,0.524305453258,0.537852750836
801,30,11,66,1902,0.160504,0.205275,0.405123576797,0.420534730557
802,27,2,3,24,0.0161780000001,0.149825,0.458426255096,0.565714356011
803,97,16,101,5226,2.614891,0.671055,0.390176424696,0.400240158238
804,48,2,47,49259,2.884217,0.248812,0.493440778645,0.500510031074
805,1,10,34,15,0.000941000000012,0.028665,0.436397793329,0.881822170386
806,6,8,4,98,0.00241699999992,0.0493139999999,0.386553409892,0.537513110858
807,8,4,5,575,0.00421700000015,0.0551909999999,0.492890600687,0.508449664838
808,3,3,4,11323,0.0208169999999,0.0302370000002,0.535245839624,0.528572444334
809,4,3,15,1,0.00150499999995,0.031105,0.0,0.626623853068
810,7,4,13,2801,0.01259,0.0523230000001,0.48225388573,0.48599421522
811,35,11,28,2706,0.11556,0.248442,0.420114840962,0.430381414957
812,20,15,2,50,0.00725499999999,0.181551,0.27592580643,0.512305099526
813,1,17,3,42,0.000614000000041,0.0232209999999,0.406010652134,0.669219469084
814,20,3,118,8844,0.514003,0.118146,0.470847165677,0.474494503392
815,3,3,1,12,0.00125000000003,0.0308379999999,0.36822130628,0.556482465989
816,17,9,4,4,0.00579500000003,0.101063,0.322256598316,0.684353651579
817,75,3,22,4210,0.168947,0.409894,0.478241688775,0.491574589453
818,29,7,12,6837,0.115738,0.183592,0.463021406928,0.462004332915
819,1,11,11,59,0.000999999999976,0.028642,0.451780994359,0.654466814794
820,1,2,12,909,0.00217700000007,0.0205539999999,0.530413672856,0.532278106048
821,14,3,8,12088,0.0615130000001,0.088395,0.50534681376,0.504361576224
822,4,4,1,3,0.00199300000008,0.037341,0.291844963959,0.7602710405
823,39,7,4,2673,0.0362809999999,0.24291,0.511315848625,0.503144922102
824,5,14,3,771,0.00354700000003,0.0473079999999,0.492949319985,0.495458324575
825,14,2,22,12046,0.095742,0.0838529999999,0.508191610475,0.503598331615
826,1,4,99,29230,0.143167,0.022201,0.470934119073,0.470087850256
827,88,15,47,5,0.0303159999999,0.508208,0.199014815736,0.554293720311
828,6,6,6,247,0.00281999999993,0.047994,0.46987716675,0.482648389751
829,36,2,2,34,0.014966,0.187815,0.457245122772,0.547502024061
830,9,2,6,2,0.00517800000011,0.0601570000001,0.114626064426,0.781108514095
831,82,7,19,8,0.0270580000001,0.491173,0.136251627958,0.534148318811
832,14,2,5,1,0.004682,0.067636,0.0,0.660956658545
833,3,2,3,23409,0.0335810000001,0.0296720000001,0.50993772867,0.509452828504
834,25,12,3,8956,0.0684100000001,0.169761,0.496311622378,0.496155384571
835,1,2,1,22,0.000585000000001,0.0208460000001,0.603849955085,0.54148111695
836,44,14,1,3675,0.032978,0.278664,0.511241770792,0.520012484286
837,18,4,109,29,0.00763600000005,0.114856,0.310846998459,0.482348628303
838,32,5,106,24,0.013598,0.196588,0.1600468133,0.549912273093
839,7,10,26,5,0.00253599999996,0.0533300000002,0.0677401063744,0.612884918611
840,2,15,7,35723,0.089894,0.0307330000001,0.47207036307,0.469231347181
841,10,3,1,34,0.00350500000013,0.0745320000001,0.454026555689,0.529972679817
842,13,8,1,20,0.00450600000022,0.0987189999998,0.303515907159,0.525650288101
843,85,3,52,1162,0.119143,0.455174,0.475160337648,0.471713228532
844,1,19,8,4,0.000577000000021,0.0216290000001,0.240233649699,0.560066751937
845,13,9,140,5,0.00856599999997,0.0971360000001,0.138898356731,0.533738986854
846,29,5,37,25861,1.285335,0.182061,0.458886796248,0.45562787959
847,1,3,32,1,0.000555000000077,0.0200479999999,0.0,0.553083477682
848,29,2,109,2948,0.132567,0.157609,0.489521126852,0.485401356986
849,21,4,18,8635,0.135516,0.12935,0.472848479217,0.471495439276
850,5,2,2,3,0.00244900000007,0.0415460000002,0.254916376477,0.656823307077
851,98,2,47,13640,1.288689,0.485473,0.495400598963,0.493005745355
852,36,10,8,8090,0.14411,0.268773,0.460718237317,0.469780594031
853,10,4,60,1089,0.0183869999998,0.0659860000001,0.463012587378,0.457961278107
854,47,10,125,5810,1.419283,0.319492,0.418705440554,0.423475520241
855,1,7,1,4,0.000567000000046,0.021211,0.1537937664,0.597429122576
856,2,9,3,26960,0.044897,0.0286739999999,0.481975905298,0.486758183128
857,2,2,1,371,0.00147199999992,0.0248750000001,0.591943679972,0.536454352128
858,17,2,2,159,0.00610699999993,0.103181,0.556353773675,0.530163523099
859,2,2,20,3,0.000956000000087,0.0251349999999,0.205445382064,0.677663810685
860,81,7,1,2,0.0250110000002,0.392841,0.139668943053,0.602122801355
861,7,10,5,13383,0.0603209999999,0.059722,0.473277642294,0.471907733285
862,67,2,9,170,0.0238409999999,0.342112,0.461028355056,0.518457455205
863,4,5,1,1926,0.00607500000001,0.0373500000001,0.536099436305,0.525102255507
864,37,7,33,4818,0.20049,0.232204,0.449740180701,0.446659631167
865,9,15,6,1618,0.0098680000001,0.069434,0.450347565205,0.466185033385
866,4,3,25,3,0.00155500000005,0.0346969999998,0.204249042644,0.582207092496
867,2,15,2,9213,0.0151779999999,0.0264749999999,0.529014848481,0.530401897718
868,2,4,1,186,0.00101599999994,0.0260370000001,0.522190401152,0.546962110543
869,83,6,3,50529,0.990633,0.495098,0.50469789285,0.506408184017
870,16,2,5,1,0.00873900000011,0.0852970000001,2.6645352591e-15,1.20267718155
871,1,6,1,29,0.000594000000092,0.02199,0.382644233731,0.568135037085
872,39,10,7,636,0.021109,0.256702,0.454495188108,0.474263768594
873,90,3,9,22,0.0291710000001,0.498785,0.392790053152,0.527184419848
874,3,2,8,8,0.00124400000004,0.030258,0.208838724067,0.610737870369
875,74,2,2,5,0.033887,0.380039,0.293301862309,0.551087089028
876,6,5,33,13336,0.123776,0.048546,0.4692783828,0.466422838012
877,68,16,64,4,0.022152,0.365344,0.177786950252,0.653906934743
878,86,3,116,1,0.029773,0.359241,1.7763568394e-15,0.537483179997
879,67,2,17,52,0.022332,0.335515,0.509708559285,0.521885407216
880,39,3,61,1850,0.0913879999998,0.219074,0.469998442938,0.470960213478
881,2,3,1,192,0.00100500000008,0.0272229999998,0.514171001091,0.53588514462
882,4,16,2,147,0.00198399999999,0.0432539999999,0.455376831202,0.519894603581
883,28,19,60,8,0.00981300000012,0.177482,0.161390028586,0.537865890451
884,35,17,1,5,0.011452,0.19935,0.276494875331,0.634849612006
885,11,9,1,2,0.00435900000002,0.064179,0.204709811608,0.541228008224
886,80,2,20,37,0.027165,0.410683,0.402595097381,0.522651938124
887,31,10,9,50,0.010976,0.209301,0.293733306359,0.497784698133
888,20,12,2,970,0.018951,0.132402,0.4888072723,0.509489504503
889,25,2,20,4,0.00813599999992,0.131288,0.284596886955,0.56076817266
890,6,12,24,1116,0.0100440000001,0.0501790000001,0.418683620901,0.445249854552
891,7,17,8,3,0.00251000000003,0.046511,0.128539103838,0.669078853958
892,1,2,3,172,0.000919999999951,0.020536,0.547888354351,0.545940429984
893,28,9,35,181,0.015987,0.202086,0.31958650316,0.46773932213
894,1,4,43,7978,0.0228750000001,0.0220999999999,0.510935038321,0.513374507014
895,12,5,9,116,0.00494500000013,0.0947660000002,0.422483344969,0.505667411533
896,50,12,5,39,0.028035,0.354781,0.294669611081,0.494585084535
897,1,2,12,8,0.000575000000026,0.023416,0.146614578288,0.640345391691
898,9,10,83,11,0.00384899999995,0.0838570000001,0.290532461917,0.634486542235
899,77,2,1,2477,0.0382820000002,0.405951,0.527396779417,0.53349221579
900,2,14,2,95,0.0010400000001,0.029108,0.478134174402,0.540848280781
901,19,9,1,1,0.012686,0.0930899999998,0.0,0.54983843154
902,5,2,1,45,0.00200199999995,0.041242,0.420644893679,0.535544374234
903,71,14,36,431,0.0938709999998,0.491105,0.338392153818,0.442584005391
904,1,3,6,2839,0.00480399999992,0.0236479999999,0.48334214836,0.48639054079
905,1,10,105,5,0.00101999999993,0.03062,0.0895228482337,0.590125684688
906,48,11,6,3,0.030921,0.26993,0.217161830059,0.562014061607
907,19,2,1,17878,0.049747,0.112977,0.535440674021,0.535693627388
908,71,7,37,124,0.0366219999999,0.507643,0.385396896677,0.479542948798
909,13,4,1,23154,0.080903,0.117596,0.528372442423,0.524448480459
910,19,2,24,9163,0.113123,0.107427,0.508506042311,0.511566433749
911,3,6,17,231,0.003334,0.0368249999999,0.445745893116,0.516483732895
912,4,3,7,4,0.00284499999998,0.0447549999999,0.141619217206,0.556423907088
913,60,9,3,2,0.0304310000001,0.294105,0.262798726169,0.537157620263
914,15,5,3,3,0.0103819999999,0.106969,0.0919405480382,0.539814354748
915,11,4,14,1092,0.0103260000001,0.08212,0.476635633989,0.496257003999
916,2,2,10,1,0.00162300000011,0.032866,0.0,0.748476571529
917,1,9,65,4671,0.0248180000001,0.024181,0.438024741631,0.45038558043
918,11,3,18,45,0.00783500000011,0.0989470000002,0.382662239449,0.567313667006
919,30,17,1,6,0.0191460000001,0.220601,0.0830717805954,0.546890437675
920,4,2,96,8913,0.104022,0.036116,0.47710162967,0.485932285588
921,29,2,14,23515,0.289261,0.167044,0.511903655915,0.509119201512
922,2,9,19,28224,0.11978,0.028579,0.446836503339,0.452672168247
923,4,13,7,7099,0.02385,0.042545,0.454672300293,0.45728987586
924,6,3,23,322,0.00581099999999,0.059303,0.471683034659,0.483496677091
925,80,5,67,34,0.0476020000001,0.510939,0.29078773025,0.51384694018
926,1,3,3,141,0.00147100000004,0.024584,0.532078026094,0.549116451669
927,38,7,3,18674,0.191121,0.248633,0.515753723174,0.513296392135
928,17,3,87,42970,2.448882,0.110961,0.474753487783,0.473725279291
929,91,15,1,15500,0.226316,0.594522,0.51608521446,0.518480751738
930,29,2,1,10,0.0177249999999,0.202243,0.600226933529,0.533308397859
931,6,15,9,1,0.00218900000004,0.040078,0.0,0.622577875405
932,1,8,18,11877,0.0255100000002,0.022706,0.466072453826,0.467141828661
933,59,2,6,1346,0.050444,0.346554,0.527278338838,0.522728590041
934,11,5,4,108,0.00463100000002,0.078344,0.510473926721,0.512172153524
935,76,9,11,4297,0.202379,0.501281,0.452108428143,0.455544186911
936,12,3,2,7,0.00803400000018,0.0804600000001,0.192561016274,0.654860186632
937,66,5,1,55,0.024531,0.446951,0.482883803236,0.534090879638
938,25,2,93,36032,2.442236,0.162615,0.483283173247,0.489632671087
939,36,2,39,9757,0.265846,0.194745,0.501871126338,0.499924846087
940,17,13,5,13007,0.110587,0.123565,0.484326529533,0.484696818702
941,1,5,13,1766,0.00367100000017,0.0214940000001,0.483568672299,0.479613733195
942,6,2,3,45323,0.085591,0.0437340000001,0.533922139457,0.537658843443
943,7,7,95,2141,0.04711,0.0655239999999,0.411898685396,0.44133519617
944,1,4,65,2,0.000551000000087,0.0213549999999,0.357268938838,0.752631084021
945,9,9,5,4,0.00308199999995,0.0584329999999,0.27073132704,0.569524131635
946,2,5,19,7186,0.0235290000001,0.026685,0.483260779532,0.477883163311
947,1,2,1,16,0.000897000000123,0.0265400000001,0.515574900293,0.549147238955
948,32,9,31,5,0.0105350000001,0.184323,0.128641896108,0.550522300223
949,6,5,4,4270,0.0126090000001,0.047307,0.48801953571,0.487678900503
950,1,2,50,9817,0.024874,0.0219910000001,0.490283137872,0.487685408514
951,93,2,11,4380,0.11387,0.465729,0.519415240445,0.520879759074
952,11,6,7,262,0.00498900000002,0.0767699999999,0.451659983057,0.496537295047
953,1,8,41,626,0.00223200000005,0.0215459999999,0.418391654155,0.468354377128
954,80,9,83,138,0.059348,0.521029,0.317744317373,0.465055884177
955,62,8,1,17105,0.154238,0.371199,0.525594206777,0.521816680085
956,53,7,129,27,0.024678,0.354604,0.182237619934,0.537082951866
957,1,17,45,3,0.00055599999996,0.0204220000001,0.912733160904,0.594091983812
958,1,3,75,251,0.00119200000017,0.0209789999999,0.426920894356,0.499514678783
959,8,2,106,27,0.00319300000001,0.0548660000002,0.518891459528,0.543927352112
960,53,15,10,44549,2.322792,0.379334,0.437376448753,0.437499768126
961,7,14,3,475,0.00399300000004,0.057589,0.449845516058,0.491294041934
962,11,2,3,1000,0.00616300000002,0.063519,0.512677760774,0.531026510002
963,85,4,48,2026,0.205339,0.480906,0.462392329999,0.463578918531
964,8,14,90,220,0.010102,0.0649720000001,0.307019170688,0.465860323462
965,4,2,3,9,0.00268899999992,0.0397810000002,0.413268271627,0.563935530063
966,66,2,19,95,0.022704,0.336254,0.519935809462,0.513779199231
967,27,5,2,956,0.0125849999999,0.166412,0.535531330404,0.521851876218
968,29,19,4,31,0.0102850000001,0.20714,0.18833055446,0.541632410424
969,1,15,3,2,0.00056799999993,0.0237299999999,0.136722467642,0.951201753221
970,62,15,10,33401,1.934532,0.430875,0.439393698924,0.441187365031
971,29,2,2,7,0.00987199999986,0.154661,0.22071283422,0.548623038512
972,20,2,11,1779,0.0172700000001,0.11356,0.532153879541,0.524894976937
973,3,2,1,199,0.00232500000016,0.0315759999999,0.539563387929,0.512935428535
974,67,2,8,7193,0.108951,0.343768,0.522924793079,0.520458339888
975,5,15,4,1613,0.00598400000013,0.047411,0.47412515044,0.486316019159
976,47,11,3,1,0.0154239999999,0.20262,3.5527136788e-15,0.538083205799
977,7,7,1,3248,0.00886600000013,0.053592,0.527904667025,0.523743948247
978,42,2,6,2215,0.030195,0.215452,0.52924873341,0.527317663151
979,8,10,13,17,0.00298700000008,0.064869,0.339353954904,0.547485544938
980,9,8,135,511,0.0267899999999,0.0705249999999,0.414071956423,0.444176365627
981,2,5,150,4008,0.034881,0.02647,0.462538296648,0.459923073691
982,1,2,3,230,0.000866000000087,0.019916,0.528122736536,0.539876196999
983,1,15,2,13,0.0005799999999,0.0284159999999,0.548999647268,0.840982053829
984,55,16,14,37149,2.692126,0.382618,0.421602615677,0.424902800631
985,62,18,65,742,0.159459,0.429413,0.35885186665,0.416577736497
986,1,17,2,71,0.000639000000092,0.022794,0.363950135302,0.583877044946
987,2,2,1,2,0.001485,0.0298789999999,0.214373588587,0.740400679499
988,43,6,1,12070,0.0753609999999,0.258552,0.530150737064,0.525537555137
989,2,2,2,1,0.000892000000022,0.0261390000001,0.0,0.537394724662
990,47,2,2,42901,0.236861,0.238913,0.533901321508,0.53593387543
991,8,19,20,43717,0.739327,0.069033,0.418713576618,0.414888276786
992,66,14,10,31,0.0420139999999,0.452877,0.161034977211,0.548286395273
993,28,7,57,2,0.016588,0.140088,0.20027792136,0.572719260715
994,18,2,7,22,0.00604199999998,0.0984149999999,0.468793333324,0.534710313292
995,26,7,16,184,0.0116089999999,0.167684,0.434536645417,0.467619276885
996,2,3,2,3,0.00149299999998,0.0261069999999,0.172285959803,0.563371539158
997,1,6,106,355,0.0018070000001,0.0214940000001,0.479114958202,0.525934343332
998,5,2,14,4801,0.0209629999999,0.0476269999999,0.502215393866,0.514171349873
999,7,2,31,4334,0.018435,0.0464509999999,0.496946765169,0.504458802222
